peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_option_id,peer_assignment_review_schema_part_option_text,peer_assignment_review_schema_part_option_score
"9hRB5feCEeWJoRIC9GAuIw@1","f5816992-712c-4af5-e608-10eddf73749e","Yes","Yes",1
"vwXGHChQEeaeOg6Hp9hnyw@1","BF1h6G6ATT8Q6Hq4OMge2p","No","No",0
"9voOH_eCEeWSPQpVZJn7FQ@2","632c7dae-874a-402e-edea-3ce05c3fc5d0","Yes","Yes",1
"nqhqtdAbEeWJ8go9jrGl7Q@3","3002b144-a8b4-4692-f822-7b56b8897564","No","No",0
"8jzkN86PEeWyxApSRqwlWw@3","820fe52a-ece5-4051-fe12-353e3c5110a8","Yes","Yes",1
"9rsJSfeCEeWJoRIC9GAuIw@3","dc5e1f5b-aae2-483d-99e8-513d1f9d5457","No","No",0
"8jzkN86PEeWyxApSRqwlWw@6","5d48005e-49d4-4571-f3e2-aa78264afb99","No","No",0
"9kBa5PeCEeWcIwpe-uKM9Q@2","40f90a7f-a9eb-4365-f59c-126de570b33d","80c60228-2f62-435f-8933-5f9f802943db","<co-content><text>1 remaining high priority user stories appear in Sprint 2</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@6","d201f007-3c1a-4a49-cb67-205a2acc37e4","No","No",0
"RIIMfveGEeWSPQpVZJn7FQ@2","BF1h6G6ATT8Q6Hq4OMge2p","No","No",0
"9kBa5PeCEeWcIwpe-uKM9Q@4","3002b144-a8b4-4692-f822-7b56b8897564","No","No",0
"wXYC7ShQEeaGtw7VJ4hX6w@1","351fc057-68fc-464f-a8c8-a974ff1977ac","No","No",0
"9p1IYveCEeWwOA4X7vTG_Q@2","5bcc1717-2c30-4aed-c502-4b924a8e5a62","No","No",0
"dGK4i9AXEeWJ8go9jrGl7Q@4","8cfdbd6f-240f-418d-a396-2348fdb058a9","Yes","Yes",1
"9rsJSfeCEeWJoRIC9GAuIw@3","11742a95-8154-47f9-c340-85c14a6d73b9","Yes","Yes",1
"wTlH0ChQEeaOBAr7VGzUHw@4","11742a95-8154-47f9-c340-85c14a6d73b9","No","No",0
"wTlH0ChQEeaOBAr7VGzUHw@4","9ff63e4e-58bf-4632-ff60-e611f447322a","No","No",0
"9voOH_eCEeWSPQpVZJn7FQ@5","R6Fuf4nRm7w9ybZ1PhyR0c","Yes","Yes",1
"vufdjihQEeaLEw5C-qNm0w@4","e1f46608-d516-459a-d399-07d8ffbd6e04","No","No",0
"nqhqtdAbEeWJ8go9jrGl7Q@7","b7112a15-a321-4cca-af85-9542b64995c7","Yes","Yes",1
"-xK13dEPEeW3igq7kvt3qw@7","3b016d76-5374-4e09-92cd-fefeb005fb92","Yes","Yes",1
"nqhqtdAbEeWJ8go9jrGl7Q@4","3002b144-a8b4-4692-f822-7b56b8897564","No","No",0
"nqhqtdAbEeWJ8go9jrGl7Q@6","3002b144-a8b4-4692-f822-7b56b8897564","Yes","Yes",1
"dGK4i9AXEeWJ8go9jrGl7Q@2","8cfdbd6f-240f-418d-a396-2348fdb058a9","Yes","Yes",1
"-xK13dEPEeW3igq7kvt3qw@5","3b016d76-5374-4e09-92cd-fefeb005fb92","No","No",0
"em6s9NEVEeWlfA7f_IUrbw@10","351fc057-68fc-464f-a8c8-a974ff1977ac","Yes","Yes",1
"ZqZRCtTbEeWHOA7t0uQ0Ww@10","41c3a084-cd57-4a2f-af00-a6a28b81c814","Yes","Yes",5
"9voOH_eCEeWSPQpVZJn7FQ@7","a28d01b1-da29-4973-c680-683e42768daa","Yes","Yes",1
"ZqZRCtTbEeWHOA7t0uQ0Ww@5","24bdcc9b-c032-4402-8f97-1c828263c0c7","Yes","Yes",1
"vufdjihQEeaLEw5C-qNm0w@5","e79dfc4b-645b-44c4-e259-dd6de1221ff0","Yes","Yes",1
"4qyWSs6NEeWzWQ7wuWBg7Q@3","c5d2e20b-ef1a-43f0-c34a-dff68517d111","199476ea-87b8-4566-a432-82fe254bcc97","<co-content><text>None of the risks had reasonable contingency plans</text></co-content>",0
"9ffhC_eCEeWkJA7vZIsK9Q@3","6f178c21-4486-4778-a98f-c6342191366b","YvRuI1gpCMSc6CTBF8BxSF","<co-content><text>Excellent Effort</text></co-content>",5
"em6s9NEVEeWlfA7f_IUrbw@10","351fc057-68fc-464f-a8c8-a974ff1977ac","No","No",0
"em6s9NEVEeWlfA7f_IUrbw@11","a28d01b1-da29-4973-c680-683e42768daa","No","No",0
"9tm1JveCEeWwOA4X7vTG_Q@3","b8a2cb44-f70d-44a7-8354-db8c543ef3bc","e1a09d8b-1c10-4031-d556-b1443179bd3c","<co-content><text>Some of the time</text></co-content>",2
"9gWb5veCEeWoVw4RkdPOvQ@3","153c7945-2cf5-47e5-debc-41f541798c8b","No","No",0
"-xK13dEPEeW3igq7kvt3qw@3","279aae26-0c26-4b91-98bc-6fa6865f7b56","88adf14b-93cd-4beb-dac6-9311dbe0684a","<co-content><text>2 of the suggested user stories were added to Sprint 3 </text></co-content>",2
"P3kcYs6CEeW6bA4RgCmm0Q@5","8ae0dce8-688e-4646-9cb8-1713bd596bde","Yes","Yes",1
"9hRB5feCEeWJoRIC9GAuIw@1","e452af33-9bb0-4aa2-80c0-480f21e1a915","No","No",0
"dGK4i9AXEeWJ8go9jrGl7Q@7","b9df9ca2-0b17-4be9-97fa-76e397a1fdf8","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@9","dc5e1f5b-aae2-483d-99e8-513d1f9d5457","Yes","Yes",1
"em6s9NEVEeWlfA7f_IUrbw@11","632c7dae-874a-402e-edea-3ce05c3fc5d0","Yes","Yes",1
"wRv7mChQEeaVWgodRB5guQ@2","279aae26-0c26-4b91-98bc-6fa6865f7b56","88adf14b-93cd-4beb-dac6-9311dbe0684a","<co-content><text>Two of the suggested user stories were added to Sprint 3 </text></co-content>",2
"vufdjihQEeaLEw5C-qNm0w@2","145582d0-0803-4947-ba47-5e58afa111e3","Yes","Yes",1
"ZqZRCtTbEeWHOA7t0uQ0Ww@5","ef83a9aa-bb7e-44e5-898a-f5a5cf81796d","8847fc31-b69f-4ab9-cb11-835a91ad9c5a","<co-content><text>Learner didn’t identify any issues and/or solutions</text></co-content>",0
"P3kcYs6CEeW6bA4RgCmm0Q@7","8ae0dce8-688e-4646-9cb8-1713bd596bde","Yes","Yes",1
"em6s9NEVEeWlfA7f_IUrbw@7","fde8dec7-4a31-4b3b-8219-e9b37dc5ec67","af9436c9-af12-45d7-b769-fb32eb03f178","<co-content><text>Bad</text></co-content>",1
"dn6ZfdEIEeWR0RIE1vRpDw@6","3e231bf7-cd64-471e-a7f8-085e542ae274","e6050174-854f-4a6c-be05-2085861debe8","<co-content><text>Excellent</text></co-content>",3
"9p1IYveCEeWwOA4X7vTG_Q@2","365079e6-4b20-4cc9-e9e1-b36f4c418e4d","889cc114-7a43-432e-f1aa-f7abccf158e1","<co-content><text>3 of the suggested user stories were removed from Sprint 3</text></co-content>",3
"wIEbqihQEeaQAQovE5D5Iw@1","q85W2JjzG0tIIBsP8w1pAO","vCgk8gWN_a_8o67nxKl4bV","<co-content><text>Always</text></co-content>",3
"em6s9NEVEeWlfA7f_IUrbw@9","f7823a36-be3b-455e-c2cd-50d776c198ab","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@5","d201f007-3c1a-4a49-cb67-205a2acc37e4","No","No",0
"vufdjihQEeaLEw5C-qNm0w@5","87f6a590-5e97-4b89-b0e2-0fecd2a5fab9","Yes","Yes",1
"9LQVjveCEeWJoRIC9GAuIw@4","f9eee3a9-c6f6-4925-e560-8d3008b3cf9e","160eacf2-1a12-440a-fcbb-85efed8c14b7","<co-content><text>3 of the risks were present in the Risk Plan</text></co-content>",3
"9hRB5feCEeWJoRIC9GAuIw@2","731ed779-42fb-4a74-a9d6-11261018b2a0","ee9dc9a2-f06f-445d-acc5-3f7c0bcadbb9","<co-content><text>Not complete</text></co-content>",0
"nqhqtdAbEeWJ8go9jrGl7Q@4","b7112a15-a321-4cca-af85-9542b64995c7","No","No",0
"25sis86eEeWljg6vNXStKQ@2","153c7945-2cf5-47e5-debc-41f541798c8b","No","No",0
"9voOH_eCEeWSPQpVZJn7FQ@1","b557bab7-f065-4943-ef08-a9a5b3504dcd","Yes","Yes",1
"9rsJSfeCEeWJoRIC9GAuIw@1","dc5e1f5b-aae2-483d-99e8-513d1f9d5457","No","No",0
"dn6ZfdEIEeWR0RIE1vRpDw@4","860961d0-dfba-4f98-9c29-20ca931553c9","Yes","Yes",1
"wTlH0ChQEeaOBAr7VGzUHw@2","860961d0-dfba-4f98-9c29-20ca931553c9","Yes","Yes",1
"wTlH0ChQEeaOBAr7VGzUHw@1","b90065ed-3ec0-4899-b895-2a94f0f5a187","No","No",0
"8jzkN86PEeWyxApSRqwlWw@5","d3c2244b-953e-4b2f-94dd-82fb1494e73c","6a7b5c61-6b41-463c-eaea-19163d3d3f0b","<co-content><text>All high risk-low priority user stories remained in the backlog</text></co-content>",2
"dGK4i9AXEeWJ8go9jrGl7Q@6","e452af33-9bb0-4aa2-80c0-480f21e1a915","Yes","Yes",1
"9l-i1veCEeWoVw4RkdPOvQ@5","41c3a084-cd57-4a2f-af00-a6a28b81c814","F5vpryNubCDrUNyMUpHeN-","<co-content><text>No Effort - No feedback is provided</text></co-content>",0
"dn6ZfdEIEeWR0RIE1vRpDw@5","6ae0c9cc-c581-4641-fa51-d2c9c67919b8","Yes","Yes",1
"dGK4i9AXEeWJ8go9jrGl7Q@7","b9df9ca2-0b17-4be9-97fa-76e397a1fdf8","No","No",0
"9voOH_eCEeWSPQpVZJn7FQ@7","R6Fuf4nRm7w9ybZ1PhyR0c","No","No",0
"9kBa5PeCEeWcIwpe-uKM9Q@1","88a5c6ea-7ae7-4ef0-fc11-75d6e1c8429a","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@4","6ae0c9cc-c581-4641-fa51-d2c9c67919b8","Yes","Yes",1
"8jzkN86PEeWyxApSRqwlWw@4","5d48005e-49d4-4571-f3e2-aa78264afb99","No","No",0
"wTlH0ChQEeaOBAr7VGzUHw@4","7e609c48-6601-45c3-f916-f3408cdbf4e6","No","No",0
"9p1IYveCEeWwOA4X7vTG_Q@1","365079e6-4b20-4cc9-e9e1-b36f4c418e4d","f11a18b4-1837-40eb-db56-70a8459890dc","<co-content><text>1 of the suggested user stories was removed from Sprint 3</text></co-content>",1
"wIEbqihQEeaQAQovE5D5Iw@3","BlKY8xk3E7XHARXEGsuPY6","IGnH6VFIg3Dq66gfoXeYrr","<co-content><text>At least two criteria were provided for three of the user stories</text></co-content>",3
"9voOH_eCEeWSPQpVZJn7FQ@9","a28d01b1-da29-4973-c680-683e42768daa","No","No",0
"nqhqtdAbEeWJ8go9jrGl7Q@5","88a5c6ea-7ae7-4ef0-fc11-75d6e1c8429a","Yes","Yes",1
"9hRB5feCEeWJoRIC9GAuIw@2","f5816992-712c-4af5-e608-10eddf73749e","Yes","Yes",1
"em6s9NEVEeWlfA7f_IUrbw@5","632c7dae-874a-402e-edea-3ce05c3fc5d0","No","No",0
"nqhqtdAbEeWJ8go9jrGl7Q@5","40f90a7f-a9eb-4365-f59c-126de570b33d","8fc38615-c52a-4e98-984d-90cb2e4f7165","<co-content><text>2 remaining high priority user stories appear in Sprint 1</text></co-content>",2
"9voOH_eCEeWSPQpVZJn7FQ@7","f7823a36-be3b-455e-c2cd-50d776c198ab","No","No",0
"4qyWSs6NEeWzWQ7wuWBg7Q@6","c5d2e20b-ef1a-43f0-c34a-dff68517d111","d9598ae9-34a6-4e8d-c078-37f3f39410a2","<co-content><text>All the risks had reasonable contingency plans</text></co-content>",3
"wRv7mChQEeaVWgodRB5guQ@1","279aae26-0c26-4b91-98bc-6fa6865f7b56","59bf4bcd-f6cd-47c2-d019-dd3256017801","<co-content><text>All suggested user stories were added to Sprint 3</text></co-content>",3
"4qyWSs6NEeWzWQ7wuWBg7Q@4","c5d2e20b-ef1a-43f0-c34a-dff68517d111","199476ea-87b8-4566-a432-82fe254bcc97","<co-content><text>None of the risks had reasonable contingency plans</text></co-content>",0
"wVhBSyhQEeaVWgodRB5guQ@1","efa757b2-524d-4d98-c2ff-24dc3e485ad4","Qp9rG_zuVKDvF-SB88RA8e","<co-content><text>Minimal Effort - 1 piece of feedback is provided</text></co-content>",1
"o40uFM6MEeW4gBJQzjtgDw@9","8e97d2ee-5f9b-4605-83b7-83bc74def75d","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@13","3e231bf7-cd64-471e-a7f8-085e542ae274","48fdd3c7-12a8-412f-b8a2-1f63603625e4","<co-content><text>Not complete</text></co-content>",0
"ZqZRCtTbEeWHOA7t0uQ0Ww@7","ef83a9aa-bb7e-44e5-898a-f5a5cf81796d","522e41fe-7bd3-4086-fbc5-960213845a8c","<co-content><text>Some of the time</text></co-content>",2
"dn6ZfdEIEeWR0RIE1vRpDw@5","3e231bf7-cd64-471e-a7f8-085e542ae274","48fdd3c7-12a8-412f-b8a2-1f63603625e4","<co-content><text>Not complete</text></co-content>",0
"4qyWSs6NEeWzWQ7wuWBg7Q@2","f9eee3a9-c6f6-4925-e560-8d3008b3cf9e","cb75b6a3-fda2-49a3-b9ca-edd01b371f8c","<co-content><text>None of the risks were present in the Risk Plan</text></co-content>",0
"-xK13dEPEeW3igq7kvt3qw@2","279aae26-0c26-4b91-98bc-6fa6865f7b56","59bf4bcd-f6cd-47c2-d019-dd3256017801","<co-content><text>All suggested user stories were added to Sprint 3</text></co-content>",3
"9voOH_eCEeWSPQpVZJn7FQ@5","f7823a36-be3b-455e-c2cd-50d776c198ab","No","No",0
"o40uFM6MEeW4gBJQzjtgDw@12","8e97d2ee-5f9b-4605-83b7-83bc74def75d","Yes","Yes",1
"9voOH_eCEeWSPQpVZJn7FQ@4","b557bab7-f065-4943-ef08-a9a5b3504dcd","No","No",0
"vufdjihQEeaLEw5C-qNm0w@2","6e259284-46d7-43d9-ea0d-03794de8b978","No","No",0
"dn6ZfdEIEeWR0RIE1vRpDw@13","d201f007-3c1a-4a49-cb67-205a2acc37e4","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@6","11742a95-8154-47f9-c340-85c14a6d73b9","Yes","Yes",1
"9rsJSfeCEeWJoRIC9GAuIw@5","dc5e1f5b-aae2-483d-99e8-513d1f9d5457","Yes","Yes",1
"9voOH_eCEeWSPQpVZJn7FQ@4","a28d01b1-da29-4973-c680-683e42768daa","Yes","Yes",1
"9hRB5feCEeWJoRIC9GAuIw@1","85d1392d-59b7-4a24-e12c-9ceda086b9db","Yes","Yes",1
"wXYC7ShQEeaGtw7VJ4hX6w@2","a66764d6-9126-4a91-debc-7cfd1fc72f49","No","No",0
"9tm1JveCEeWwOA4X7vTG_Q@1","b8a2cb44-f70d-44a7-8354-db8c543ef3bc","e1a09d8b-1c10-4031-d556-b1443179bd3c","<co-content><text>Some of the time</text></co-content>",2
"dn6ZfdEIEeWR0RIE1vRpDw@6","c1b6a522-563b-45e0-87d8-4f21b096df7e","No","No",0
"9voOH_eCEeWSPQpVZJn7FQ@1","a28d01b1-da29-4973-c680-683e42768daa","No","No",0
"ZqZRCtTbEeWHOA7t0uQ0Ww@7","24bdcc9b-c032-4402-8f97-1c828263c0c7","Yes","Yes",1
"9rsJSfeCEeWJoRIC9GAuIw@4","c1b6a522-563b-45e0-87d8-4f21b096df7e","Yes","Yes",1
"9voOH_eCEeWSPQpVZJn7FQ@2","632c7dae-874a-402e-edea-3ce05c3fc5d0","No","No",0
"dn6ZfdEIEeWR0RIE1vRpDw@13","c1b6a522-563b-45e0-87d8-4f21b096df7e","No","No",0
"vufdjihQEeaLEw5C-qNm0w@5","e1f46608-d516-459a-d399-07d8ffbd6e04","No","No",0
"dn6ZfdEIEeWR0RIE1vRpDw@11","c1b6a522-563b-45e0-87d8-4f21b096df7e","Yes","Yes",1
"9voOH_eCEeWSPQpVZJn7FQ@5","b557bab7-f065-4943-ef08-a9a5b3504dcd","Yes","Yes",1
"wTlH0ChQEeaOBAr7VGzUHw@2","b90065ed-3ec0-4899-b895-2a94f0f5a187","No","No",0
"9rsJSfeCEeWJoRIC9GAuIw@2","3e231bf7-cd64-471e-a7f8-085e542ae274","48fdd3c7-12a8-412f-b8a2-1f63603625e4","<co-content><text>Not complete</text></co-content>",0
"ZqZRCtTbEeWHOA7t0uQ0Ww@4","41c3a084-cd57-4a2f-af00-a6a28b81c814","Yes","Yes",5
"9voOH_eCEeWSPQpVZJn7FQ@2","5a46ec77-fd00-4ecc-c241-d931b7df0233","No","No",0
"em6s9NEVEeWlfA7f_IUrbw@11","9dc4712c-28ca-45fc-cc4a-7b9090a38e10","No","No",0
"dn6ZfdEIEeWR0RIE1vRpDw@4","183bef19-6058-4c31-ad07-4338d162e635","No","No",0
"-xK13dEPEeW3igq7kvt3qw@3","b74ebca3-c5a8-4453-ab04-19bb1b037123","No","No",0
"8jzkN86PEeWyxApSRqwlWw@2","d3c2244b-953e-4b2f-94dd-82fb1494e73c","a71fc45d-9f60-4c18-e963-e4b0bbcc7e79","<co-content><text>1 high risk-low priority user story remained in the backlog</text></co-content>",1
"9kBa5PeCEeWcIwpe-uKM9Q@3","3002b144-a8b4-4692-f822-7b56b8897564","No","No",0
"dn6ZfdEIEeWR0RIE1vRpDw@5","6ae0c9cc-c581-4641-fa51-d2c9c67919b8","No","No",0
