discussion_question_id,ualberta_discussions_user_id,discussion_question_title,discussion_question_details,discussion_question_context_type,course_id,course_module_id,course_item_id,discussion_forum_id,country_cd,group_id,discussion_question_created_ts,discussion_question_updated_ts
"-vB-2_m1EeWPcBKgw3iPNw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Write comments on box while reviewing or inside document of peer i review?","<co-content><text>It is not clear to me if we have to write the comments of this review inside the document or only in the proposed boxes?</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","ch4H9","","","",2016-04-03 16:06:09.913,2016-06-09 07:55:12.137
"A6llQf8UEeWS4Ar9qFG8UQ",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Prioritization-DTILO-Video-Tracker does not have ID#9","<co-content><text>I think that the excel file does not have the ID #9 (user be able to rate).Personally, I added, am i mistaken?</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","Orpha","","","",2016-04-10 12:01:53.053,2016-06-09 08:01:09.22
"_iTtZwSgEeagVwrGhMvzTw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Wrong interpretation or confusing exercise?","<co-content><text>I think that this exercise is a little bit confusing. To build a burndown, you usually use story points in vertical axis and sprints in horizontal. This is not possible at this stage, as it was requested iteration burndown for sprint 1. The features of sprint one are not yet completed(e.g. browsing). So i put effort (hours) in vertical axis and dates in horizontal. It was not possible to put story points in vertical (e.g. you cannot caclulate from the excel the story points per day, only calculation of how much hours one story point takes (as calculation). So i made a prediction on when the full sprint would finish (with the features allocated for first sprint). It seems that people do different things (some put story points in vertical axis, other hours for all sprints which is not possible to calculate).</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","q0yAj","","","",2016-04-17 13:33:38.649,2016-06-09 08:06:56.46
"o7eGcfQsEeWB9gr2ttYzXQ",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Hello from Greece","<co-content><text>Hi, I am Maria Rerra and I have worked in some projects adopted Agile methodology. However, my latest work is focused on Service Management and I miss agile a lot! I am trying to apply some agility in IT service management project i work, so this course was to remind me and to give some more information on how to apply agility.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-27 15:00:26.712,2016-06-09 07:48:52.594
"5jQBefm2EeWnyw45DXyCTw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Let's talk about requirements at this stage","<co-content><text>Hello, I have some \"concerns\" and I would appreciate stuff opinion as well.I totally understand that we try to simulate a real situation of course so we have some limitation.However, i think it is not fair to request a requirement document after 1 discussion with client and these requirements should be also full, clear etc. For example, for me it was clear that users of app will be children, so the interface should be simple and suitable for kids.I received a comment (which is correct of course!) that this requirement is too vague. Yes it is at this stage and needs elaboration on the next stage but i do not want to remove it in order to ensure that the interface will be suitable for kids!I do not know what this means and i cannot find tests for that. Another requirement i captured was that\"as a kid i want to be encouraged for reading more\", but i did not want to limit it to specific implementations. Again, this would be elaborated in later stage. What is your opinion?</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","7UTtN","","","",2016-04-03 16:12:44.62,2016-06-09 07:55:09.421
"EEu5AgStEeauAAp_SRa7YQ",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Item 4.10 locked but there are not available submissions to review in item 4.9","<co-content><text>Item 4.10 is locked. Can you help? It seems that i have to comp;ete review in item 4.9 but there are not any available submissions. please help.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","a7dkXOVgEeWhmg4JHc-OZw","","",2016-04-17 15:00:03.063,2016-06-09 08:06:59.43
"b61rixF5Eea63hJ3Ni_BAw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Resubmission due to failure","<co-content><text>  I thought that the deadline was 8th of May, i could not submit on time and now i am requesting to follow a new full Capstone Project. Since reviews continue, why not subbmitting work for week 5 within this week? It was not clear that late submission does not really exist..  </text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","fFMh9","","","",2016-05-03 21:53:14.373,2016-06-09 08:20:10.967
"HZC9JvV9EeWi3hK4t5iOYw",10b58e5726aca57a86fecb62b9517d12a7a4a02b,"Kindly Review my Work","<co-content><text>Hello .., </text><text>        Someone decided that my requirements Document does not pass the last question \"Comprehension test\"so i resubmitted it again </text><text/><text>Kindly Review it as no one reviewed it since i submitted it </text><text>here is the link <a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/7UTtN/1-9-assignment-requirements-document-graded/review/eKYL1PTUEeWSBxKpjBqu3Q\">https://www.coursera.org/learn/software-product-management-capstone/peer/7UTtN/1-9-assignment-requirements-document-graded/review/eKYL1PTUEeWSBxKpjBqu3Q</a></text></co-content>","module","99SZyjVxEeW6RApRXdjJPw","NEjg6","","","","",2016-03-29 07:09:02.041,2016-06-09 07:50:38.254
"C1iaoPAaEeWlJhJpbKSYeQ",10b58e5726aca57a86fecb62b9517d12a7a4a02b,"Hello From Egypt","<co-content><text>Hello Everyone .., </text><text>      Just started viewing all of your posts .I guess in previous Courses we had all that topics in only one.</text><text/><text>But as it's now done by all of you </text><text>here i am introducing my self too </text><text>Mohamed El-Feky Software Engineer.with 5 years of Experience developing apps using different Languages.</text><text>Happy to join the Course Community.Wish to keep interacting with All of You.</text><text>Here is my <a href=\"https://about.me/elfeky.m\">About.me/elfeky.m</a> and you will find all related social media links in it.</text><text>Thanks for Viewing.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-22 10:37:15.484,2016-06-09 07:44:40.04
"fFg9Lwt3Eea44Qp49aJR6w",10b58e5726aca57a86fecb62b9517d12a7a4a02b,"Left Behind in Grading 5.10 and 5.13","<co-content><text>My assignments still not graded </text><text>i tried to update 5.13 as it got graded and i did some modifications  </text><text>Thanks in advance</text><text>Assignment 5.10 </text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QNcPXAoMEeaWWg6E9amO-Q\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QNcPXAoMEeaWWg6E9amO-Q</a></text><text/><text>Assignment 5.13</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/YLJk4/5-13-assignment-iteration-plan-for-sprint-3-graded/review/nyFgrgt2Eeavcw5bns7DCQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/YLJk4/5-13-assignment-iteration-plan-for-sprint-3-graded/review/nyFgrgt2Eeavcw5bns7DCQ</a></text><text/></co-content>","module","99SZyjVxEeW6RApRXdjJPw","QqTdi","","","","",2016-04-26 06:24:09.655,2016-06-09 08:14:11.198
"BOLh-Pm2EeWEAhLOZ9BW_w",3c47649e83c9fd4f16abefcdeaa0a711dfd01105,"Release plan - Low priority / High risk stories in third sprint","<co-content><text>Why should the two Low priority &amp; High risk stories be excluded from the third sprint?</text><text>As far as I understood from the course, high risk stories should be take into consideration as soon as possible (considering their priority first of all, of course), and therefore I included them both in the third sprint, leaving other Low priority stories in the backlog</text></co-content>","module","99SZyjVxEeW6RApRXdjJPw","Uf8PR","","","","",2016-04-03 16:06:26.601,2016-06-09 07:55:09.168
"i8DAHv5NEeWZ8AoH1Zkwbw",62f2ccc73809aacc817b0853f6d8aac75c6e6cad,"Is anybody can review my assignment, please?","<co-content><text>I can not start the next assignment without your assessment. Help me, please! :)</text><text>https://s3.amazonaws.com/coursera-uploads/peer-review/99SZyjVxEeW6RApRXdjJPw/f5a5e5daffb837584dda2ecbfd47def1/App---Literacy-and-comprehension---Release-Plan.pdf</text><text/></co-content>","module","99SZyjVxEeW6RApRXdjJPw","Uf8PR","","","","",2016-04-09 12:21:11.527,2016-06-09 08:00:30.954
"RiLnQv5mEeWW0grgb0UTkQ",62f2ccc73809aacc817b0853f6d8aac75c6e6cad,"Help me please with rating assignment for Week 3 Release Plan!","<co-content><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/Orpha/3-8-assignment-week-3-release-plan-graded/review/jwh4Pv5KEeWhAhJG54yYkQ\"/><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/Orpha/3-8-assignment-week-3-release-plan-graded/review/jwh4Pv5KEeWhAhJG54yYkQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/Orpha/3-8-assignment-week-3-release-plan-graded/review/jwh4Pv5KEeWhAhJG54yYkQ</a></text><text/><text>Thank you!</text></co-content>","module","99SZyjVxEeW6RApRXdjJPw","Uf8PR","","","","",2016-04-09 15:18:12.148,2016-06-09 08:00:34.112
"LVP5aRu0EeauxQoPktIdZw",356715a2a6fc415b0d47f5b146b0b009dd1bfe6d,"Hello from Chicago, the windy city...I'm Resti","<co-content><text>I used to work as a project manager for a huge telecommunication company based in Dallas, Texas. My degree is in HCI but I found out I really enjoyed working as a project manager. I am taking this course to learn more about Agile development. I am excited to dive into this course and apply what I have learned from the previous courses. Thanks and good luck to y'all!</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-05-16 22:18:54.992,2016-06-09 08:30:11.897
"ct_g8jsXEeaS0w6RXgoWAw",356715a2a6fc415b0d47f5b146b0b009dd1bfe6d,"Awesome SPM Specialization!","<co-content><text>The SPM specialization is a great learning experience. I learned new techniques such as using story points. I also learned ways with dealing with clients and colleagues. I will definitely recommend this course to my friends and colleagues. I am looking forward to using these techniques in my new job! Good luck to all...   </text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","fASrHeVgEeWAzxJelNFrFw","","",2016-06-25 20:57:37.894,2016-06-25 20:57:37.894
"oXh0sP1oEeWu1Q5gvOuhYQ",1d94c90e96a6fa66794decda1ae2bb4be76fc4ec,"Iteration planning : don't self-assign all tasks upfront","<co-content><text>Hi,</text><text> \"don't self-assign all tasks upfront\"</text><text>I don't find this specification or rule in the course notes. Was it mentioned somewhere in the videos?\\n\\n\\n\\n</text><text>On page 61 of the notes of week 4 (Agile planning) it says the development team must sign up for tasks based on their available time. In the sample iteration plan on the next page all tasks are self-assigned upfront.</text><text>How could we know for the assignment 3.12 that we should identify this issue?</text><text/></co-content>","module","99SZyjVxEeW6RApRXdjJPw","Uf8PR","","","","",2016-04-08 09:02:33.212,2016-06-09 07:59:30.16
"OqZj6QyHEea63hJ3Ni_BAw",eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"Thank you, the best online course I have taken so far","<co-content><text>I would like to thank the whole staff for the specialization for such a wonderful experience. I learned a lot during these last 6 months. I will highly recommend this course, and I hope there are plans for other related courses.</text><text>Best regards,</text><text>Omar Jimenez</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","fASrHeVgEeWAzxJelNFrFw","","",2016-04-27 14:49:22.548,2016-06-09 08:15:13.894
"vCgL2QGTEeamGg7Dz_SaMQ",eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"About Acceptance criteria tasks being performed by dev team","<co-content><text>I'm confused about this one; is it Ok that the acceptance criteria and acceptance testing is written by the dev team? Shouldn't be the client the one who creates this?</text><text>I understand that in real world situations the client will most likely not have time to invest on performing these tasks (I have been there). Is it fine if the dev team creates these acceptance criteria and UAT tasks? Should they be ultimately reviewed and approved by the client before using them?</text></co-content>","module","99SZyjVxEeW6RApRXdjJPw","sDRJO","","","","",2016-04-13 16:21:10.994,2016-06-09 08:04:10.038
"gBwXc-_iEeWK_Q7eN25hdw",eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"Hello from Guadalajara, Mexico!","<co-content><text>Looking forward to start this project and complete this great six month experience!</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-22 03:59:39.564,2016-06-09 07:44:29.826
"y-bf8vt8EeWS4Ar9qFG8UQ",eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"Scoring criteria of Release Plan is not considering dependecies","<co-content><text>The scoring criteria for the release plan is not following the same conventions from the \"Agile planning\" module, where the release plan exercise would take in consideration that before placing an user story with dependencies on a sprint you should have placed the precedent user story in a previous sprint before.</text><text>This means that the statement \"Are all the high-risk, high-priority user stories scheduled in the first sprint? (The high risk-high priority user stories were: Page Maintains Fidelity, Pictures, Connect with Remote User, Read with Audio)\" is not possible since the \"Audio connection\" US requires that user story \"Connect with remote user\" is implemented first.</text><text>Also, the statement \"Are all the priority 2 user stories scheduled before (or in the same sprint) as any priority 3 user stories?\" is not possible since there are at least two US priority 2 (\"Sort material\", \"Book covers\") that depend on the following US dependencies sequence: Browse all material  -&gt; Remotely access content  -&gt; Mobile product.</text></co-content>","module","99SZyjVxEeW6RApRXdjJPw","Uf8PR","","","","",2016-04-05 22:21:52.009,2016-06-09 07:57:36.271
"KmOX8AyREeawWRJ2-Hqumw",eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"Awesome specialization! Lets keep in touch via LinkedIn!","<co-content><text>This has been a great learning experience, but let's also take this as an opportunity to build our professional network. Please feel free to add me on LinkedIn, just mention on the request that we shared the SPM specialization:</text><text><a href=\"https://www.linkedin.com/in/omarnjimenez\">https://www.linkedin.com/in/omarnjimenez</a></text><text>Thank you all!</text><text>Omar Jimenez</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","VkCzk-VgEeWQyBIVkjssHw","","",2016-04-27 16:00:30.234,2016-06-09 08:15:16.304
"A2R2hfKhEeWnOBISxifLdw",eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"Regarding the Requirements Document assigment","<co-content><text>While reviewing my peers work I noticed a similar trend: they have been including features discussed by the developers in the last dev meeting video (like animations on pages) as requirements, without having them discussed before with the client to confirm. </text><text>The assignment clearly states \"you will create  a requirements document based on \\nthe information that you elicited from your interactions with your \\nclient and the expert\", so for me at least it makes sense that the user stories for the document should be created from the requirements gathered during the talks with Lisa and Daniel. What does everybody else think?</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","VkCzk-VgEeWQyBIVkjssHw","","",2016-03-25 15:48:26.524,2016-06-09 07:47:19.668
"I4uNuDPuEeam9Qq1mQSNeQ",831764f171d41cd6e808eb8bc8a02a58bf13bd1f,"Shall we use the first doc we created as a Risk Plan (Assignment of Week 2) to add the two new ones","<co-content><text>Or should we create a new doc that will contain only the two new risks.</text><text>Thanks,</text><text>K. </text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","YRR22","","","",2016-06-16 18:14:17.296,2016-06-16 18:14:17.296
"Y3HIgBufEeawBQpBGS9q9w",831764f171d41cd6e808eb8bc8a02a58bf13bd1f,"Hello from Boston, MA","<co-content><text>I am very excited to join this final course of Software Product Specialization.</text><text>The idea to become a Product Manager emerged while I was working as a Customer Experience Specialist at Airbnb. It was when I realized my love for improving the product. I wanted to make user's life easier and delight them with seamless experiences. </text><text>Once I complete this specialization I believe I will be one step closer to get do a job I love and will provide important service to people. </text><text>Good luck to everyone! </text><text>Cheers!</text><text/></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-05-16 19:50:06.353,2016-06-09 08:30:00.748
"nmi0QRv4EeaIERIKn_tddw",9888c389b28d82ea34fa615bafab824d4b0f9768,"Hello World","<co-content><text>Hello All,</text><text>My Name is Kiran Narendran and I am from India. </text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-05-17 06:28:50.488,2016-06-09 08:30:28.742
"dPIYSDe1Eeat4xJ53uGG1Q",cb31089cc0b3ebba9191c3ef9a77b2f4c0fd2528,"My experience during the Specialization","<co-content><text>I will include by personal retrospective about the capstone and specialization by following the retrospective format, answering the following questions:</text><text><strong>What went well?</strong>\\n</text><list bulletType=\"bullets\"><li><text>I really liked the organization of the content of the specialization. Since the beginning we were given a model (Inuksuk) and that help me identify the importance of each module.\\n</text></li><li><text>I really like the Capstone project and how we can experience every scrum event depicting also some possible things than can go wrong and how to handle them</text></li><li><text>I think is great that we got to do the release planning, burn-down chart, iteration plan feedback repetitive times since this helps reaffirm the knowledge</text></li><li><text>At the begging I thought it was a bit annoying to do the peer review, but at the end I really liked giving feedback and help other classmates. Gives you more responsibility to make sure you are learning right, and you get things clear in order to identify the faults in other's work.</text></li><li><text>I found very helpful the email remainders to help me keep on track</text></li><li><text>I was impressed by the SPM team's availability, I encountered a problem once during the whole specialization where I was a bit behind and I was worried there would be no classmates to review my work so I emailed Morgan and she answered right away and solved my problem.</text></li></list><text>\\n<strong>What didn't go well?</strong>\\n</text><list bulletType=\"bullets\"><li><text>I found some lessons a bit boring but that might be because I am already experienced in scrum on software project</text></li></list><text>\\n<strong>What can be improved?</strong>\\n</text><list bulletType=\"bullets\"><li><text>Can't think of anything now</text></li></list></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","fASrHeVgEeWAzxJelNFrFw","","",2016-06-21 13:38:37.201,2016-06-21 13:38:37.201
"JXy8Ex6kEeaiOA521kQqww",cb31089cc0b3ebba9191c3ef9a77b2f4c0fd2528,"Hi from Amsterdam! Agile project manager here","<co-content><text>Hi everyone! I am Lilian, interim project manager of an IT project in Amsterdam. The project I am working on is about a social network for volunteers who want to do something for the environment. I enjoy a lot working on the project and this specialization has helped me a lot during the process and I have really enjoyed the learning process throughout the course, looking forward to learn more from the Capstone project!</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-05-20 16:01:43.378,2016-06-09 08:33:05.367
"0isTCRwjEeaPqRI66g-Cyw",492aa22206e46fe88e37c76cede1b7cf391e20dd,"Hello from Kyiv, Ukraine","<co-content><text>Hi everyone,\\n</text><text>I'm Max, i have been working in Bank as project manager for 5 years. I really want to develop my knowledge and experience in Agile management approachсhe. Especially useful for me was the third course \"Client Needs and Software Requirements\".  There were not enough information for me about Metrics on software projects, so it would be grate to share our experience of monitoring and controlling projects.\\n</text><text>I'm looking forward to work with you on capstone project. Good luck to all!\\n</text><text>my linkedin acc: ua.linkedin.com/in/maksymgolovkopmp\\n</text><text/></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-05-17 11:38:05.685,2016-06-09 08:30:44.624
"9vjEtg_jEea63hJ3Ni_BAw",02e4bd323ce4aa754a5d1f308c7961d41019eb2b,"Great Specialization!","<co-content><text>I really enjoyed this specialization !</text><text>I learned a lot about the agile methodology and product management,  also I did some practice with the capstone and this help me to understand every concept I learned. </text><text>For the Specialization and the capstone is so important the peer review and also the discussion forum, this help to clarify and learned over the others points of view, so thank every body!</text><text>I was so excited about the tools we used during the specialization like Decision tree videos and Release planning tool, they were very easy to use and also were very convenient to understand the concepts.</text><text>Thanks to the University of Alberta and all the teachers involved in this project!</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","fASrHeVgEeWAzxJelNFrFw","","",2016-05-01 21:30:45.687,2016-06-09 08:18:17.778
"PaDbje-xEeWFuw7QEATDpw",02e4bd323ce4aa754a5d1f308c7961d41019eb2b,"Hi from Colombia","<co-content><text>Hi every one, My name is Wilson Pinto from Colombia, I'm working as a Project Manager and I'm taking this course to learn more about the agile practice and improve my skills.</text><text>I would like us to share our experiences and knowledge in the forums</text><text/></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-21 22:07:02.687,2016-06-09 07:44:11.507
"W8QCRB0gEea3JA6-1_N9Kw",a7623af7327f001c51fcd8690ddeef0878a1f39e,"Hello from New Jersey, USA","<co-content><text>Hello everyone</text><text>My name is Zeeshan Amjad and I am a Software Engineer for over 15 years. I have been using SCRUM for over 6 years and also Certified SCRUM Master. Still I learned lots of interesting and new concepts in this course, and hopefully learn more during the project. </text><text>Wish all of you best of luck</text><text>Zeeshan Amjad</text><text/></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-05-18 17:45:49.711,2016-06-09 08:31:46.525
"rxHtl_BsEeWnOBISxifLdw",600d6353fa3076702e5b8530e9910a491409d9a5,"Hello from Bulgaria","<co-content><text>Hi all,</text><text>I am currently working as a product owner in a big software company. Looking forward to working together.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-22 20:28:48.899,2016-06-09 07:45:07.885
"RSS-Xu_1EeWWORKcDoY1lQ",35341dd5944329b5becd1bc06109af91420703a1,"Hello everyone :)","<co-content><text>Hi, this is Sam. I live in Hong Kong. I am a software security researcher and I need to write codes in Java and .NET. I don't need to manage a development team but I need to work closely with two different dev teams, both have roughly ~10 team members. I plan to apply the techniques I learn to increase transparency of my work to other teams, as well as forming more structured management when more researchers join my team. BTW, we use RallyDev internally and that's how I start doing Agile development.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-22 06:14:01.073,2016-06-09 07:44:32.912
"hcCu6gZLEeaGYRLQcnuUpQ",af156d935c655f17c7e0eaa4828b16620ab9b665,"Burn down chart","<co-content><text>great experience overrall , I  learned a lot . However, I still have 1 concern who is the burndown charts.  Does anyone know how to imput the data and get to the graph and what software you guys used to get it done.  </text><text>All the insights would be appreciate.</text><text/></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","fASrHeVgEeWAzxJelNFrFw","","",2016-04-19 16:26:51.769,2016-06-09 08:09:08.169
"KGtS3CALEea0fgo0T3qZ0Q",6c3b2d218becc0fdcac9063050c3744283d3b95f,"Submit 2nd assignment even if assignment 1.9 is not completely graded?","<co-content><text>Can I submit the second assignment (2nd week) without having the first one completely graded (Assignment 1.9)?</text><text>I would like to go ahead and start the second week.</text><text>Thanks.</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","7UTtN","","","",2016-05-22 10:51:37.623,2016-06-09 08:34:13.975
"dzX0XiaBEeawRg6_aDBdWw",6c3b2d218becc0fdcac9063050c3744283d3b95f,"Question from Vivek Garg about what software I used for Wireframe","<co-content><text>Thanks Vivek! To build the wireframe I used Apple's Keynote (equivalent of powerpoint) to rapidly iterate while building. :) If you don't have an apple computer, their office suite, inluding Keynote, can be accessed and used online at iCloud.com. You only need to create an account.</text><text>Maybe this helps others too.</text><text>Happy learning! :)</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","jDnF8","","","",2016-05-30 16:13:37.404,2016-06-09 08:41:18.75
