discussion_answer_id,ualberta_discussions_user_id,course_id,discussion_answer_content,discussion_question_id,discussion_answer_parent_discussion_answer_id,discussion_answer_created_ts,discussion_answer_updated_ts
"NeHkQwMdEea58Q75huYNRw",b9bb4db5b682b5dced8632fc60422064985c32a1,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Feel free to skip it. I had no problems with tasks at weeks 5 and 6 without reading it.</text></co-content>","AmkdXgMNEeagVwrGhMvzTw","",2016-04-15 15:17:47.431,2016-04-15 15:17:47.431
"WmByTgLNEeagVwrGhMvzTw",b9bb4db5b682b5dced8632fc60422064985c32a1,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi! When i was reviewing some work in week 4 or 5 (dont remember exactly, but most probably risk plan in week 5). I saw only 2 submissions and one were the copy of another. Sadly, i cant find who is the original poster and dont see the learners i reviewed. </text><text/></co-content>","km9L-_kIEeWEAhLOZ9BW_w","",2016-04-15 05:46:08.92,2016-04-15 05:46:08.92
"tXew3v9zEeWZ8AoH1Zkwbw",831010388df4cc07948090ffd3b92b99e142ede1,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Done </text><text/></co-content>","WUWWj_3HEeWS4Ar9qFG8UQ","1Abnu_3dEeWu1Q5gvOuhYQ",2016-04-10 23:26:53.551,2016-04-10 23:26:53.551
"Zip58RJCEeaVPQ6kCMKyuQ",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I done it.</text><text>Please review mine</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ</a></text><text/></co-content>","crR_IxH1Eeavcw5bns7DCQ","8GMbshJBEeaSqwpdV4Ekkw",2016-05-04 21:51:47.258,2016-05-04 21:51:47.258
"N8qCzRIkEeaxsBIihWq87Q",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I done it, I did review your work.</text><text>Thank you. </text></co-content>","tqpZGxIREeaNagrozOF-VQ","U_SNkBIjEea63hJ3Ni_BAw",2016-05-04 18:15:44.552,2016-05-04 18:15:44.552
"kIeK_xI0Eea0FgrDsuIyMQ",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Give me the link</text><text>and if you please review mine</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ</a></text><text>Thank you.</text></co-content>","crR_IxH1Eeavcw5bns7DCQ","",2016-05-04 20:12:45.378,2016-05-04 20:12:45.378
"mPJH_RIqEeaNagrozOF-VQ",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Juan,</text><text>I reviewed your assignment , please review mine</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ</a></text><text>Thank you.</text></co-content>","qIw0cxFSEeaO1w7d1s7iLw","",2016-05-04 19:01:24.532,2016-05-04 19:01:24.532
"6ZovixIjEeaSqwpdV4Ekkw",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Thank you. I done it. </text><text>I've reviewed all your assignment. </text><text>Thank you very much. </text></co-content>","tqpZGxIREeaNagrozOF-VQ","9wqxuxIiEeaSqwpdV4Ekkw",2016-05-04 18:13:33.373,2016-05-04 18:13:33.373
"MSr-nxIlEeaZrBJIefqa4w",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Dana ,</text><text>I reviewed your assignments , please review mine</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ</a></text><text/></co-content>","A_ES7gs9Eea84w5Krj7Aqw","p0UD6RIVEeavcw5bns7DCQ",2016-05-04 18:22:42.937,2016-05-04 18:22:42.937
"iOI1iRIYEeaZrBJIefqa4w",2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","<co-content><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/QwVs7RIZEea0FgrDsuIyMQ</a></text><text>I done all my work and waiting review this work.</text><text>Thank you so much,</text><text>Dima</text></co-content>","A_ES7gs9Eea84w5Krj7Aqw","",2016-05-04 16:52:06.642,2016-05-04 16:58:24.551
"n_IPqjReEeadGQpovGd8gw",d28f091c79b20874b3b66b1c82e8eb7d9da1e956,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Morgan, the links how work. Thx!</text></co-content>","y4gXTjOmEeacog5pPeZU8w","3WN30DPWEean7xJ3I-HWGQ",2016-06-17 07:39:29.639,2016-06-17 07:39:29.639
"SWKZyv53EeWpRBJSZ0Y3Bw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I have done all three, but in 3-12 there is huge notice: the team members should not assign all tasks upfront. I put all points,but other reviewers would point that out and you will get less points. You actually can resubmit this work and point this in your answer.</text></co-content>","9n_Ylv5fEeWS4Ar9qFG8UQ","yaAPNv5lEeWJIg651qnFcw",2016-04-09 17:19:59.043,2016-04-09 17:19:59.043
"Wh-W4wFbEeaFvxKtmk5LcQ",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Sydney, both done.</text></co-content>","alMAKf98EeWS4Ar9qFG8UQ","",2016-04-13 09:37:34.705,2016-04-13 09:37:34.705
"cBWlgQJDEeaTWRLC7rustw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>It happend with me today. When I was reviewing other assignements from the 5.10 Release Burndown, I saw my own work was submitted by other person. I marked this submission as plagiarism and send the report to the Coursera. It is awfull feeling when you see your own stolen work. </text></co-content>","km9L-_kIEeWEAhLOZ9BW_w","",2016-04-14 13:18:54.791,2016-04-14 13:18:54.791
"mjnNwQFbEeaTWRLC7rustw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Mohamed, yours done too.</text></co-content>","alMAKf98EeWS4Ar9qFG8UQ","6vhdlwCDEeaZDQ5TnbLmpw",2016-04-13 09:39:22.251,2016-04-13 09:39:22.251
"h3jtNgGWEeaFvxKtmk5LcQ",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Done.</text></co-content>","tzjdjAA2EealQw7xlSHNnQ","FrjosgFaEea58Q75huYNRw",2016-04-13 16:41:11.095,2016-04-13 16:41:11.095
"OoB1Af5vEeWjZRIrkC40zw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I cannot find the link. Place it here.</text></co-content>","WUWWj_3HEeWS4Ar9qFG8UQ","1Abnu_3dEeWu1Q5gvOuhYQ",2016-04-09 16:22:18.099,2016-04-09 16:22:18.099
"NhyRIQGXEeazBxIp-OtAdw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Thank you Morgan. I did not know that the word \"last\" can have such meaning.</text></co-content>","s59QgQFREeaybgrn3sEOAQ","oZQ1rwGNEeaFRBL8xcPRow",2016-04-13 16:46:04.091,2016-04-13 16:46:04.091
"iCaNiv5oEeWu1Q5gvOuhYQ",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Done</text></co-content>","RiLnQv5mEeWW0grgb0UTkQ","",2016-04-09 15:34:21.895,2016-04-09 15:34:21.895
"mhi74vzPEeWS4Ar9qFG8UQ",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi, Jeronimo,</text><text>That is very cool. I am glad for you. If you please be so kind to make review for two my assignements then:</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/q0yAj/4-5-assignment-iteration-burndown-sprint-1-graded/review/ReWc3vzJEeWlQw7xlSHNnQ\">https://www.coursera.org/learn/software-product-management-capstone/peer/q0yAj/4-5-assignment-iteration-burndown-sprint-1-graded/review/ReWc3vzJEeWlQw7xlSHNnQ</a></text><text/><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/a3J40/4-9-assignment-week-4-release-plan-graded/review/5iMCefzMEeWpRBJSZ0Y3Bw\">https://www.coursera.org/learn/software-product-management-capstone/peer/a3J40/4-9-assignment-week-4-release-plan-graded/review/5iMCefzMEeWpRBJSZ0Y3Bw</a></text><text/><text>They stop me. Thank you in advance.</text><text>Nina</text></co-content>","RW24dfo0EeWRJQquNiz-Jw","",2016-04-07 14:47:07.841,2016-04-07 14:47:07.841
"FrjosgFaEea58Q75huYNRw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I have done the 1st one, but the second link has some error. Please give the right link to the 2nd assignment.</text></co-content>","tzjdjAA2EealQw7xlSHNnQ","",2016-04-13 09:28:32.128,2016-04-13 09:28:32.128
"a4ku5P5BEeWftQ4Vb9ltCw",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I have done too. Hope it will help.</text><text/></co-content>","WUWWj_3HEeWS4Ar9qFG8UQ","1Abnu_3dEeWu1Q5gvOuhYQ",2016-04-09 10:54:23.515,2016-04-09 10:54:23.515
"ACWkfP5vEeWlQw7xlSHNnQ",09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Done</text></co-content>","RiLnQv5mEeWW0grgb0UTkQ","g9rLw_5uEeWW0grgb0UTkQ",2016-04-09 16:20:40.196,2016-04-09 16:20:40.196
"hgMYy_FHEeWfwAohgaM63Q",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Lane,</text><text>It is worked now. I did nothing just closed the browser tab then tried after a few minutes.</text><text>anyhow below is my environment details</text><list bulletType=\"bullets\"><li><text>Browser : Chrome 49.0.2623.87 m</text></li><li><text>OS : Windows 10 - Version\\t10.0.10586 Build 10586</text></li></list><text>Thanks</text></co-content>","uwJmLvBOEeWB0QpuSDkq-Q","D-tYefBbEeWB0QpuSDkq-Q",2016-03-23 22:35:19.799,2016-03-23 22:35:19.799
"oIAEmfBnEeWK_Q7eN25hdw",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Morgan,</text><text>that is very nice and helpful too.</text><text>Thanks</text></co-content>","uwJmLvBOEeWB0QpuSDkq-Q","D-tYefBbEeWB0QpuSDkq-Q",2016-03-22 19:52:36.971,2016-03-22 19:52:36.971
"SnOXdAgaEeacXxLBwMWIUw",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>unfortunately I can't share my certificate with this part :(. so please try fix it as soon as possible.</text><text>Thanks </text></co-content>","GUknGwQuEeawFQ5rY6ZGGQ","ds52QwWFEeagVwrGhMvzTw",2016-04-21 23:39:29.264,2016-04-21 23:39:29.264
"C1a1L_FEEeWeyQ6xu8k3Vw",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Morgan,</text><text>I have the same issue with Client meeting video. When I select the question \"what\\n  sort of material will be included?\".</text><text>I tried to refresh again and again, even I tried to restart from the beginning but with no luck.</text><text>Thanks</text></co-content>","uwJmLvBOEeWB0QpuSDkq-Q","D-tYefBbEeWB0QpuSDkq-Q",2016-03-23 22:10:25.497,2016-03-23 22:10:25.497
"8zQs7hCwEeaxsBIihWq87Q",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi everybody,</text><text>I agree with Abdalrahman and I think \"<strong>You</strong>\" should be replaced with \"<strong>He</strong>\" or<strong> student name</strong>.</text></co-content>","GUknGwQuEeawFQ5rY6ZGGQ","KjdVkhCgEeaxsBIihWq87Q",2016-05-02 21:58:06.195,2016-05-02 21:58:06.195
"fbcvMweUEea-oQoewLh7bQ",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Thanks</text></co-content>","lWF54wdFEeaBWgq4VfKpVw","N5V_gweTEeaGYRLQcnuUpQ",2016-04-21 07:41:42.709,2016-04-21 07:41:42.709
"4gTbcRrpEeaP6xImEh3H8w",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Metodiy,</text><text>Try to clear your browser cache, sometimes it displays cached version</text><text/></co-content>","GUknGwQuEeawFQ5rY6ZGGQ","nG8ikRgJEeawBQpBGS9q9w",2016-05-15 22:10:50.305,2016-05-15 22:10:50.305
"nG8ikRgJEeawBQpBGS9q9w",5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Morgan,</text><text>I know you are busy people, but it is tooooo long time to change small number of words!!!!\\n</text><text> really this is very disappointing us. It like a master chief who corrupted very tasty meal because of a tiny amount of salt.</text><text>Certificate body is not acceptable at all, just remove it. </text><text>Regards </text></co-content>","GUknGwQuEeawFQ5rY6ZGGQ","",2016-05-12 06:20:23.968,2016-05-12 06:20:23.968
