peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_type,peer_assignment_review_schema_part_order,peer_assignment_review_schema_part_prompt,peer_assignment_review_schema_part_maximum_score
"9kBa5PeCEeWcIwpe-uKM9Q@1","40f90a7f-a9eb-4365-f59c-126de570b33d","options",1,"<co-content><text>Are all remaining high-priority user stories scheduled in the second sprint? (The high priority user stories remaining were: Remotely Access Content, Browse All Material, and Select Material)</text></co-content>",3
"9rsJSfeCEeWJoRIC9GAuIw@8","3e231bf7-cd64-471e-a7f8-085e542ae274","options",0,"<co-content><text>How would you rate your peer’s interpretation? (Based on effort, and not necessarily on correctness)</text></co-content>",3
"NYjqqtESEeWR0RIE1vRpDw@4","b8a2cb44-f70d-44a7-8354-db8c543ef3bc","options",1,"<co-content><text>Did the learner provide solutions for the issues that they pointed out?</text></co-content>",3
"em6s9NEVEeWlfA7f_IUrbw@8","a28d01b1-da29-4973-c680-683e42768daa","yesNo",5,"<co-content><text>Does the prediction line point to a Sprint 6 with zero effort remaining at the beginning of that sprint?</text></co-content>",1
"dGK4i9AXEeWJ8go9jrGl7Q@2","731ed779-42fb-4a74-a9d6-11261018b2a0","options",0,"<co-content><text>How would you rate your peer’s interpretation? (Based on effort, and not necessarily on correctness)</text></co-content>",3
"9JWR-PeCEeWcIwpe-uKM9Q@1","96a3451f-045c-4179-899a-c8d30459027e","yesNo",7,"<co-content><text>Did the learner include a user story about having adjustable font sizes (or similar wording)?</text></co-content>",1
"vxRFFShQEeaGtw7VJ4hX6w@1","aa0b75af-bcea-46f8-82d6-cace74c06316","options",3,"<co-content><text>Did the learner provide 2 additional risks that were not mentioned in the risk discussion?</text></co-content>",2
"vxRFFShQEeaGtw7VJ4hX6w@1","c5d2e20b-ef1a-43f0-c34a-dff68517d111","options",2,"<co-content><text>Did the learner provide reasonable contingency plans for the risks in their Risk Plan?</text></co-content>",3
"wL5LqChQEeaoPRIBqlhr5Q@1","b7112a15-a321-4cca-af85-9542b64995c7","yesNo",2,"<co-content><text>Is the Bookmarks user story prioritized above (or in the same sprint) as the Sorting material user story and the account features?</text><text>*Lisa said that she would prioritize Bookmarks over Sort Material and all user stories related to accounts.</text></co-content>",1
"vufdjihQEeaLEw5C-qNm0w@3","e19ec481-e159-4ae3-a1f1-e6e0601bed88","yesNo",1,"<co-content><text>Did the learner set their Google Document to \"Can Comment\"? (i.e., as a peer reviewer, are you able to  make edits to the assignment that appear as suggestions?)</text></co-content>",1
"vufdjihQEeaLEw5C-qNm0w@5","8ae0dce8-688e-4646-9cb8-1713bd596bde","yesNo",5,"<co-content><text>Did the learner include a user story about being able to see the covers of books while browsing (or similar wording)?</text></co-content>",1
"wRv7mChQEeaVWgodRB5guQ@1","b74ebca3-c5a8-4453-ab04-19bb1b037123","yesNo",1,"<co-content><text>Did the learner place less than or equal to 18 story points worth of work in Sprint 3?</text><text>*There was only 18 story points completed in Sprint 2.</text></co-content>",1
"4qyWSs6NEeWzWQ7wuWBg7Q@6","f9eee3a9-c6f6-4925-e560-8d3008b3cf9e","options",0,"<co-content><text>The four risks that were discussed in the development meeting were: </text><text>Feature Risks (such as voice recognition and remote connection), Developing for both iOS and Android, Lisa Changing her Mind, and the Database. </text><text>Did the learner include these risks in their Risk Plan?</text></co-content>",4
"vwXGHChQEeaeOg6Hp9hnyw@2","yHMRjaLh_lSFxG3NlC1m3h","yesNo",0,"<co-content><text>Did the learner provide a URL to the peer's Google Doc?</text></co-content>",1
"nqhqtdAbEeWJ8go9jrGl7Q@2","3002b144-a8b4-4692-f822-7b56b8897564","yesNo",3,"<co-content><text>Are all the priority 2 user stories scheduled before (or in the same sprint) as any priority 3 user stories?</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@6","632c7dae-874a-402e-edea-3ce05c3fc5d0","yesNo",7,"<co-content><text>Does the learner display the addition and removal of story points by either displaying work completed, or by displaying an adjustable floor?</text></co-content>",1
"nqhqtdAbEeWJ8go9jrGl7Q@6","3002b144-a8b4-4692-f822-7b56b8897564","yesNo",3,"<co-content><text>Are all the priority 2 user stories scheduled before (or in the same sprint) as any priority 3 user stories?</text></co-content>",1
"25sis86eEeWljg6vNXStKQ@6","9990b547-ab7a-4618-8469-ccfeda4721a7","options",0,"<co-content><text>Did the learner demonstrate that they put effort into their wireframe?</text></co-content>",3
"P3kcYs6CEeW6bA4RgCmm0Q@5","96a3451f-045c-4179-899a-c8d30459027e","yesNo",7,"<co-content><text>Did the learner include a user story about having adjustable font sizes (or similar wording)?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@8","145582d0-0803-4947-ba47-5e58afa111e3","yesNo",8,"<co-content><text>Did the learner include a user story about seeing the definitions of unknown words (or similar wording)?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@6","87f6a590-5e97-4b89-b0e2-0fecd2a5fab9","yesNo",3,"<co-content><text>Did the learner provide some sort of unique identifier for their user stories? (i.e. a numbering or lettering system)</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@5","7e609c48-6601-45c3-f916-f3408cdbf4e6","yesNo",4,"<co-content><text><strong>If the learner created a work done vs. work completed burndown char</strong><strong>t, </strong>does the prediction line begin at approx. 92 story points at the beginning of sprint 1?</text><text><strong>If the learner created an adjustable floor burndown chart, </strong>does the prediction line extend to meet the adjustable floor? (i.e. does the prediction line start at approx. 84 story points at the beginning of sprint 1, and extend to -8 story points at the beginning of sprint 6?).</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@1","5a54b003-0907-4259-f9f9-2e1573a7612a","yesNo",10,"<co-content><text>Does the learner clearly demonstrate that the additional story points were added at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
"AI8CcM6REeWRcgrL75b_bQ@2","5dc1b6c3-aee5-4834-be6c-9b1fd51eb178","yesNo",2,"<co-content><text>Did the learner identify that the estimated hours exceeds the available hours of the developer?</text></co-content>",2
"em6s9NEVEeWlfA7f_IUrbw@3","a66764d6-9126-4a91-debc-7cfd1fc72f49","yesNo",4,"<co-content><text>Does the prediction line begin at approx. 92 story points at the beginning of sprint 1?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@6","88ab4e9b-96cd-485e-e687-e7ffc93bac76","yesNo",0,"<co-content><text>Did the learner create their Requirements Document using Google Documents?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@9","e1f46608-d516-459a-d399-07d8ffbd6e04","yesNo",2,"<co-content><text>Did the learner use the prescribed format <strong>“As a ___, I want ___, so that ___”</strong> for their user stories?</text></co-content>",1
"wTlH0ChQEeaOBAr7VGzUHw@1","183bef19-6058-4c31-ad07-4338d162e635","yesNo",5,"<co-content><text>Does the prediction line point to a Sprint 6 with zero effort remaining at the beginning of that sprint?</text></co-content>",1
"vufdjihQEeaLEw5C-qNm0w@5","96a3451f-045c-4179-899a-c8d30459027e","yesNo",7,"<co-content><text>Did the learner include a user story about having adjustable font sizes (or similar wording)?</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@5","00c7154f-e334-4802-800e-908d76a8ae4a","yesNo",0,"<co-content><text>Was the iteration burndown uploaded as a JPEG, PNG, or PDF file type?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@7","9ff63e4e-58bf-4632-ff60-e611f447322a","yesNo",7,"<co-content><text>Does the learner have the total effort remaining as approx. 70 story points for sprint 2?</text></co-content>",1
"wFPJjyhQEeaVWgodRB5guQ@1","5ec5af38-2d5e-457b-bd23-aaa492b08969","multiLineInput",3,"<co-content><text>Do you have any suggestions or comments for your peer?</text></co-content>",
"9cdbFPeCEeWYNAoGmttnCw@4","5dd044b1-5290-4605-c525-769cb0689cd1","yesNo",4,"<co-content><text>Are all the priority 2 user stories scheduled before (or in the same sprint) as any priority 3 user stories?</text></co-content>",1
"wPvw6ihQEeaGtw7VJ4hX6w@2","d682cd56-300e-4641-d842-519d4bd48250","options",2,"<co-content><text>Did the learner provide reasonable contingency plans for the risks in their Risk Plan?</text></co-content>",2
"9rsJSfeCEeWJoRIC9GAuIw@7","1916a944-deb0-4ba1-f393-d9f1a2d04db2","multiLineInput",1,"<co-content><text>Do you have any response to their interpretation or have any comments, suggestions, or advice for your peer?</text></co-content>",
"o40uFM6MEeW4gBJQzjtgDw@8","xRmDLDiLTNFCVqwLqgIVZW","multiLineInput",7,"<co-content><text>How could the learner make their Requirements Document more Traceable?</text></co-content>",
"9voOH_eCEeWSPQpVZJn7FQ@5","b557bab7-f065-4943-ef08-a9a5b3504dcd","yesNo",8,"<co-content><text>Does the learner clearly demonstrate that additional story points were <strong>added </strong>at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@1","b557bab7-f065-4943-ef08-a9a5b3504dcd","yesNo",8,"<co-content><text>Does the learner clearly demonstrate that additional story points were added at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@11","9dc4712c-28ca-45fc-cc4a-7b9090a38e10","yesNo",9,"<co-content><text>Does the learner clearly demonstrate that additional story points were added at the beginning of Sprint 3?</text><text>*Should show an increase of 2 story points</text></co-content>",1
"nqhqtdAbEeWJ8go9jrGl7Q@7","40f90a7f-a9eb-4365-f59c-126de570b33d","options",1,"<co-content><text>Are all remaining high-priority user stories scheduled in the second sprint? (The high priority user stories remaining were: Remotely Access Content, Browse All Material, and Select Material)</text></co-content>",3
"dn6ZfdEIEeWR0RIE1vRpDw@13","6ae0c9cc-c581-4641-fa51-d2c9c67919b8","yesNo",2,"<co-content><text>Does the learner display the total effort in story points (or similar wording) on the vertical axis?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@9","0ea48669-8b1d-468a-da1e-caf62fd81e35","multiLineInput",10,"<co-content><text>Do you have any general comments about your peer’s requirements document?</text></co-content>",
"dn6ZfdEIEeWR0RIE1vRpDw@6","5a54b003-0907-4259-f9f9-2e1573a7612a","yesNo",10,"<co-content><text>Does the learner clearly demonstrate that the additional story points were added at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@5","1ad64563-dd56-4ce5-8a08-8d526e2c7992","yesNo",0,"<co-content><text>Did the learner get the correct answer as 18.4? (You may accept a rounded down answer of 18 as well)</text></co-content>",1
"ZqZRCtTbEeWHOA7t0uQ0Ww@7","41c3a084-cd57-4a2f-af00-a6a28b81c814","yesNo",0,"<co-content><text>Did the learner demonstrate that they put effort into their evaluation of the iteration plan?</text></co-content>",5
"P3kcYs6CEeW6bA4RgCmm0Q@6","6e259284-46d7-43d9-ea0d-03794de8b978","yesNo",9,"<co-content><text>Did the learner include a user story about testing reading comprehension using voice recognition (or similar wording)?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@1","7e609c48-6601-45c3-f916-f3408cdbf4e6","yesNo",4,"<co-content><text>Does the prediction line begin at approx. 92 story points at the beginning of sprint 1?</text></co-content>",1
"9JWR-PeCEeWcIwpe-uKM9Q@2","145582d0-0803-4947-ba47-5e58afa111e3","yesNo",8,"<co-content><text>Did the learner include a user story about seeing the definitions of unknown words (or similar wording)?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@5","88ab4e9b-96cd-485e-e687-e7ffc93bac76","yesNo",0,"<co-content><text>Did the learner create their Requirements Document using Google Documents?</text></co-content>",1
"wIEbqihQEeaQAQovE5D5Iw@2","q85W2JjzG0tIIBsP8w1pAO","options",1,"<co-content><text>For each acceptance criterion, was an <strong>acceptance test</strong> provided?</text></co-content>",3
"P3kcYs6CEeW6bA4RgCmm0Q@7","e79dfc4b-645b-44c4-e259-dd6de1221ff0","yesNo",4,"<co-content><text>Did the learner include a user story about the product being mobile/available anywhere (or similar wording)?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@5","a3bc6b35-bbff-4c86-9f0c-6a2e1cdb414f","multiLineInput",1,"<co-content><text>Do you have any response to their interpretation or have any comments, suggestions, or advice for your peer?</text></co-content>",
"9cdbFPeCEeWYNAoGmttnCw@1","d3c2244b-953e-4b2f-94dd-82fb1494e73c","options",3,"<co-content><text>Do the high-risk, low-priority user stories remain in the backlog? (The high risk-low priority user stories were: Support Voice Recognition and Video Connections)</text></co-content>",2
"P3kcYs6CEeW6bA4RgCmm0Q@8","e79dfc4b-645b-44c4-e259-dd6de1221ff0","yesNo",4,"<co-content><text>Did the learner include a user story about the product being mobile/available anywhere (or similar wording)?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@4","f7823a36-be3b-455e-c2cd-50d776c198ab","yesNo",1,"<co-content><text>Does the learner display the sprints along the horizontal axis?</text></co-content>",1
"dn6ZfdEIEeWR0RIE1vRpDw@8","1916a944-deb0-4ba1-f393-d9f1a2d04db2","multiLineInput",1,"<co-content><text>Do you have any response to their interpretation or have any comments, suggestions, or advice for your peer?</text></co-content>",
"dGK4i9AXEeWJ8go9jrGl7Q@7","0540208b-9ad2-430e-cb2c-82b189325e8f","yesNo",6,"<co-content><text>Did the learner include a 6th day of the sprint in which the total remaining effort is zero?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@6","b90065ed-3ec0-4899-b895-2a94f0f5a187","yesNo",11,"<co-content><text>Does the learner clearly demonstrate that the additional story points were added at the beginning of Sprint 3?</text><text>*Should show an increase of 2 story points</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@5","fde8dec7-4a31-4b3b-8219-e9b37dc5ec67","options",0,"<co-content><text>How would you rate your peer’s interpretation? (Based on effort, and not necessarily on correctness)</text></co-content>",3
"wOQjKihQEeaoPRIBqlhr5Q@2","24bdcc9b-c032-4402-8f97-1c828263c0c7","yesNo",2,"<co-content><text><strong>Did the learner identify that the estimated hours exceeds the available hours of the developer?</strong></text></co-content>",1
"dn6ZfdEIEeWR0RIE1vRpDw@2","9ff63e4e-58bf-4632-ff60-e611f447322a","yesNo",7,"<co-content><text>Does the learner have the total effort remaining as approx. 72 story points for sprint 2?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@4","3e231bf7-cd64-471e-a7f8-085e542ae274","options",0,"<co-content><text>How would you rate your peer’s interpretation? (Based on effort, and not necessarily on correctness)</text></co-content>",3
"9voOH_eCEeWSPQpVZJn7FQ@5","632c7dae-874a-402e-edea-3ce05c3fc5d0","yesNo",7,"<co-content><text>Does the learner display the addition and removal of story points by either displaying work completed, or by displaying an adjustable floor?</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@8","a3bc6b35-bbff-4c86-9f0c-6a2e1cdb414f","multiLineInput",1,"<co-content><text>Do you have any response to their interpretation or have any comments, suggestions, or advice for your peer?</text></co-content>",
"9voOH_eCEeWSPQpVZJn7FQ@2","351fc057-68fc-464f-a8c8-a974ff1977ac","yesNo",6,"<co-content><text>Does the learner have the total effort remaining as approx. 38 story points for sprint 4?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@4","e79dfc4b-645b-44c4-e259-dd6de1221ff0","yesNo",4,"<co-content><text>Did the learner include a user story about the product being mobile/available anywhere (or similar wording)?</text></co-content>",1
"nqhqtdAbEeWJ8go9jrGl7Q@4","3002b144-a8b4-4692-f822-7b56b8897564","yesNo",3,"<co-content><text>Are all the priority 2 user stories scheduled before (or in the same sprint) as any priority 3 user stories?</text></co-content>",1
"vufdjihQEeaLEw5C-qNm0w@5","e0e554aa-ddd4-4451-9643-15c091940bc8","yesNo",6,"<co-content><text>Did the learner include a user story about searching for reading material (or similar wording)?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@12","9dc4712c-28ca-45fc-cc4a-7b9090a38e10","yesNo",9,"<co-content><text>Does the learner clearly demonstrate that additional story points were added at the beginning of Sprint 3?</text><text>*Should show an increase of 2 story points</text></co-content>",1
"dn6ZfdEIEeWR0RIE1vRpDw@5","5a54b003-0907-4259-f9f9-2e1573a7612a","yesNo",10,"<co-content><text>Does the learner clearly demonstrate that the additional story points were added at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
